runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
79,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
80,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
81,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
82,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
83,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
84,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
85,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
86,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
87,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
88,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
89,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
90,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
91,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
92,one,300,300,100,True,100,2,1,64,False,1e-05,0.0003
93,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
94,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
95,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
96,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
97,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
98,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
99,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
100,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
101,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
102,one,400,300,100,True,100,2,1,64,False,1e-05,0.0003
103,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
104,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
105,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
106,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
107,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
108,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
109,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
110,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
111,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
112,one,500,500,100,True,100,2,1,64,False,1e-05,0.0003
113,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
114,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
115,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
116,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
117,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
118,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
119,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
120,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
121,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
122,one,750,750,100,True,100,2,1,64,False,1e-05,0.0003
123,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
124,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
125,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
126,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
127,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
128,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
129,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
130,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
131,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
132,one,1000,1000,100,True,100,2,1,64,False,1e-05,0.0003
